Parent_Material_Num,Doc_Num
141006000015,9400021902Z
141006000015,9390006470Z
141098000024,9390000075Z
141098000024,9390004756Z
141098000024,9400001453Z
141098000024,9390006525Z
141098000024,9040002287Z
141098000164,9390000087Z
141098000164,9400022512Z
141098000173,9390000093Z
141098000173,9400001519Z
141098000173,9390003241Z
141098000173,9040002287Z
141098000173,9040004396Z
141806000352,9390006544Z
141806000352,9400021935Z
141806000353,9390006544Z
141806000353,9400021935Z
141806000354,9390006544Z
141806000354,9400021935Z
141806000355,9390006544Z
141806000355,9400021935Z
141806000356,9390006544Z
141806000356,9400021935Z
141806000357,9390006544Z
141806000357,9400021935Z
141806000358,9390006544Z
141806000358,9400021935Z
141806000359,9390006544Z
141806000359,9400021935Z
141806000360,9390006544Z
141806000360,9400021935Z
141806000361,9390006544Z
141806000361,9400021935Z
141806000362,9390006544Z
141806000362,9400021935Z
141806000363,9390006544Z
141806000363,9400021935Z
141806000364,9390006544Z
141806000364,9400021935Z
141806000365,9390006544Z
141806000365,9400021935Z
141806000366,9390006544Z
141806000366,9400021935Z
141806000367,9390006544Z
141806000367,9400021935Z
141806000368,9390006544Z
141806000368,9400021935Z
141806000370,9390006544Z
141806000370,9400021935Z
141806000371,9390006544Z
141806000371,9400021935Z
141806000372,9390006544Z
141806000372,9400021935Z
141806000373,9390006544Z
141806000373,9400021935Z
141806000374,9390006544Z
141806000374,9400021935Z
141806000375,9390006544Z
141806000375,9400021935Z
141806000376,9390006544Z
141806000376,9400021935Z
141806000377,9390006544Z
141806000377,9400021935Z
141806000378,9390006544Z
141806000378,9400021935Z
141806000379,9390006544Z
141806000379,9400021935Z
141806000380,9390006544Z
141806000380,9400021935Z
141806000381,9390006544Z
141806000381,9400021935Z
142101000962,9390003730Z
142101000962,9400002797Z
142101001133,9390004707Z
142101001133,9400019238Z
142101001141,9400019241Z
142101001141,9390005462Z
142101001161,9400017996Z
142101001161,9390005477Z
142101001161,9400019259Z
142101001168,9390004918Z
142101001168,9400019264Z
142101001191,9390005010Z
142101001191,9400019276Z
142101001208,9390005322Z
142101001208,9400020141Z
142101001261,9390006071Z
142101001261,9400021101Z
142101001281,9390006030Z
142101001281,9400021430Z
142211000023,9390004756Z
142211000023,9400004393Z
142211000023,9390007080Z
142217000437,9390001854Z
142217000437,9400020203Z
142217000438,9390001854Z
142217000438,9400020203Z
142301000171,9390004756Z
142301000171,9400016149Z
142301000259,9390001927Z
142301000259,9400004638Z
142301000543,9390001941Z
142301000543,9400019404Z
142302000356,9390003399Z
142302000356,9400018044Z
142302000356,9400004869Z
142317000004,9400020220Z
142317000004,9400018056Z
142317000004,9400005274Z
142317000027,9400018056Z
142317000027,9390005261Z
142317000027,9400021984Z
142317000027,9400005280Z
142317000028,9400018056Z
142317000028,9400005281Z
142317000030,9400018056Z
142317000030,9390005952Z
142317000030,9400005283Z
